hermes_capability,existing_component,verdict,reden
orchestration_layer,AO Executor (subprocess model),augment,"AO blijft producer/worker. Hermes observeert via youtube_upload_queue + youtube_uploads, dispatcht alleen escalatie-acties (cancel/quick-fix) terug."
persistent_memory,routine_audit_log + executive_alerts.payload,augment,"Bestaande tabellen blijven canonical audit. Hermes voegt eigen memory toe in hermes.memory + hermes.sessions voor LLM-context (token cost, embeddings)."
workflow_scheduler,pg_cron (routines_dispatch_cron + routines_health_sweep),skip,"pg_cron is canonical scheduler. Hermes hangt onder bestaande crons; geen eigen scheduler."
self_healing_monitoring,Watchdog 3-laag (local-watchdog + youtube-engine watchdog + infra_watchdog_*),augment,"Watchdog blijft eerste-lijn auto-recovery. Hermes triggert PAS na attempts_made >= consecutive_failures_to_escalate."
subagent_dispatcher,local-agent (routines-runner.ts FOR UPDATE SKIP LOCKED),augment,"Local-agent claim-pattern hergebruiken voor hermes_runs queue. Geen tweede polling-daemon."
operations_dashboard,/dashboard/operations + worker-control (mig 098),augment,"Bestaande operations blijft. Hermes voegt /dashboard/hermes toe (geen overlap met operations naming)."
realtime_event_bus,Supabase Realtime publications (orchestrator_*, infra_watchdog_*, mail_*),augment,"Hermes publiceert eigen channel hermes:events. Geen wijziging in bestaande channels."
notification_telegram,4 Telegram-services + mig 094 trg_routines_incident_relay,skip,"Telegram blijft de canonical channel voor low/medium severities en als fallback. Hermes raakt geen Telegram-code aan."
notification_whatsapp,GEEN bestaand,replace,"Geen bestaande WhatsApp-laag. Hermes WhatsApp-bridge subagent #16 is greenfield (Meta Cloud API)."
multi_entity_context,companies + cookie-synced active_company (mig 087+088),skip,"Bestaande slugs en cookie-context hergebruiken. Hermes leest companies, schrijft niet."
incident_escalation,executive_alerts + autopilot_events trigger-chain,augment,"Trigger-chain blijft. Hermes voegt extra subscriber (subagent #16) toe op autopilot_events. Geen wijziging aan trigger."
build_tracker_integration,aquier_project_sections + build_tracker (mig 088),augment,"Sectie hermes-integration toevoegen. Tabel-naming public.aquier_project_sections is naamsmismatch — overweeg generieke public.project_sections (zie risk 13)."
session_management_claude,GEEN centrale tracker — verspreid over agents,replace,"Geen centrale tracker. Hermes.sessions wordt single source of truth voor Claude-token-cost + handoff."
render_deploy_monitoring,watchdog-engine (Render infra) + Telegram alerts,augment,"Watchdog-engine blijft observer. Hermes subagent #13 voegt action-laag toe (rollback trigger via Render API), geen detectie-duplicaat."
local_worker_dispatch,local-agent (CLI-L + CLI-R via agent_tasks),augment,"Local-agent blijft executor. Hermes Local Worker Dispatcher (subagent #14) doet ALLEEN load-routing (CLI-L vs CLI-R), niet de execution zelf."
youtube_operations,youtube-engine + youtube_upload_queue + youtube_uploads,skip,"YouTube-engine blijft autoritatief. Hermes YouTube Ops subagent (#6) is read-only observer + escalatie-trigger."
aquier_marketing_agent,Marketing Agent (autonomy granted per memory feedback),skip,"MA blijft autonoom committen (memory regel). Hermes observeert decisions, schrijft naar hermes.decisions audit, dispatcht NIET namens MA."
seo_content_agent,SEO-network (mig 097, 1000+ pagina's),skip,"SEO-network is bestaande infrastructuur. Hermes-SEO-subagent (#9) handhaaft alleen NL-naamloos / EN+ES-met-naam regel (memory)."
infrastructure_agent,watchdog-engine + Render API,augment,"Combineert bestaande watchdog met action-laag (deploy, rollback)."
build_tracker_agent,build_tracker tabel + dashboard,augment,"Bestaande tabel blijft; subagent #11 doet alleen dependency- en progress-recalc."
supabase_health,infra_watchdog_checks (advisor-warnings, slow queries),augment,"Bestaande checks hergebruiken; subagent #12 voegt 5-min snapshot toe in hermes.system_health."
scheduler_supervisor,pg_cron (routines_dispatch + routines_health_sweep),augment,"Subagent #1 supervist pg_cron-runs, requeue't stuck routines. Geen vervanging."
vastgoed_intelligence,Aquier scout-pipeline + verzamelaar (memory: 2026-05-26 hersteld),augment,"Bestaande pipeline blijft; subagent #7 monitort + escaleert via WhatsApp bij fpdf2-style crashes (zie memory project_aquier_verzamelaar_report_fixes)."
quiet_hours_logic,GEEN bestaand,replace,"Geen bestaande quiet-hours implementatie. Hermes whatsapp_recipients tabel definieert per-recipient quiet_hours_start/end."
dedup_window,Telegram cooldown-Map (1u in-memory per service),augment,"In-memory dedup verdwijnt bij restart. Hermes dedup via DB-unique-index (4u window) is robuuster + cross-service."
acknowledgment_flow,GEEN bestaand,replace,"Telegram heeft geen reply-handler. Hermes WhatsApp-webhook + escalation-router is greenfield (interactive list, button reply, 30-min timeout)."
